topology,rows,cols,k,n,constraint,link_universe,planner,config_id,C,color_lower_bound,balance_ratio,min_links_per_color,max_links_per_color,planner_used,ilp_fallback_used,monochrome_rate,edge_conflicts,makespan_cycles,color_buffer_wait_cycles,link_wait_cycles,avg_latency,total_flits
tdm_fb_k2_n4,4,4,2,4,A,nd_active,greedy_best_fit_balanced,A|nd_active|greedy_best_fit_balanced,2,2,1.0,32,32,greedy_best_fit_balanced,False,1.0,0,39,25,0,17.421875,96
tdm_fb_k2_n4,4,4,2,4,A,nd_active,per_edge_round_robin,A|nd_active|per_edge_round_robin,2,2,1.0,32,32,per_edge_round_robin,False,1.0,0,37,32,0,17.796875,96
tdm_fb_k2_n4,4,4,2,4,A,nd_active,ilp_min_C,A|nd_active|ilp_min_C,2,2,1.0,32,32,ilp_min_C,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A,nd_active,ilp_min_C_then_balance,A|nd_active|ilp_min_C_then_balance,2,2,1.0,32,32,ilp_min_C_then_balance,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,full,greedy_first_fit,A+B|full|greedy_first_fit,2,2,1.0,32,32,greedy_first_fit,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,full,greedy_best_fit_balanced,A+B|full|greedy_best_fit_balanced,2,2,1.0,32,32,greedy_best_fit_balanced,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,full,per_edge_round_robin,A+B|full|per_edge_round_robin,2,2,1.0,32,32,per_edge_round_robin,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,full,ilp_min_C,A+B|full|ilp_min_C,2,2,1.0,32,32,ilp_min_C,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,full,ilp_min_C_then_balance,A+B|full|ilp_min_C_then_balance,2,2,1.0,32,32,ilp_min_C_then_balance,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,nd_active,greedy_first_fit,A+B|nd_active|greedy_first_fit,2,2,1.0,32,32,greedy_first_fit,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,nd_active,greedy_best_fit_balanced,A+B|nd_active|greedy_best_fit_balanced,2,2,1.0,32,32,greedy_best_fit_balanced,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,nd_active,per_edge_round_robin,A+B|nd_active|per_edge_round_robin,2,2,1.0,32,32,per_edge_round_robin,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,nd_active,ilp_min_C,A+B|nd_active|ilp_min_C,2,2,1.0,32,32,ilp_min_C,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k2_n4,4,4,2,4,A+B,nd_active,ilp_min_C_then_balance,A+B|nd_active|ilp_min_C_then_balance,2,2,1.0,32,32,ilp_min_C_then_balance,False,1.0,0,41,29,0,17.359375,96
tdm_fb_k8_n2,8,8,8,2,A,full,greedy_first_fit,A|full|greedy_first_fit,16,16,2.0,32,64,greedy_first_fit,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A,full,greedy_best_fit_balanced,A|full|greedy_best_fit_balanced,16,16,1.0363636363636364,55,57,greedy_best_fit_balanced,False,1.0,0,494,31403,0,188.48660714285714,2688
tdm_fb_k8_n2,8,8,8,2,A,full,per_edge_round_robin,A|full|per_edge_round_robin,16,16,1.0363636363636364,55,57,per_edge_round_robin,False,1.0,0,481,31816,0,189.43191964285714,2688
tdm_fb_k8_n2,8,8,8,2,A,full,ilp_min_C,A|full|ilp_min_C,16,16,1.346938775510204,49,66,ilp_min_C,False,1.0,0,479,31192,0,187.73995535714286,2688
tdm_fb_k8_n2,8,8,8,2,A,full,ilp_min_C_then_balance,A|full|ilp_min_C_then_balance,16,16,1.0,56,56,ilp_min_C_then_balance,False,1.0,0,487,31755,0,189.67633928571428,2688
tdm_fb_k8_n2,8,8,8,2,A,nd_active,greedy_first_fit,A|nd_active|greedy_first_fit,16,16,1.0363636363636364,55,57,greedy_first_fit,False,1.0,0,494,31403,0,188.48660714285714,2688
tdm_fb_k8_n2,8,8,8,2,A,nd_active,greedy_best_fit_balanced,A|nd_active|greedy_best_fit_balanced,16,16,1.0363636363636364,55,57,greedy_best_fit_balanced,False,1.0,0,494,31403,0,188.48660714285714,2688
tdm_fb_k8_n2,8,8,8,2,A,nd_active,per_edge_round_robin,A|nd_active|per_edge_round_robin,16,16,1.0363636363636364,55,57,per_edge_round_robin,False,1.0,0,481,31816,0,189.43191964285714,2688
tdm_fb_k8_n2,8,8,8,2,A,nd_active,ilp_min_C,A|nd_active|ilp_min_C,16,16,1.346938775510204,49,66,ilp_min_C,False,1.0,0,479,31192,0,187.73995535714286,2688
tdm_fb_k8_n2,8,8,8,2,A,nd_active,ilp_min_C_then_balance,A|nd_active|ilp_min_C_then_balance,16,16,1.0,56,56,ilp_min_C_then_balance,False,1.0,0,487,30799,0,189.4296875,2688
tdm_fb_k8_n2,8,8,8,2,A+B,full,greedy_first_fit,A+B|full|greedy_first_fit,16,16,2.0,32,64,greedy_first_fit,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,full,greedy_best_fit_balanced,A+B|full|greedy_best_fit_balanced,16,16,2.0,32,64,greedy_best_fit_balanced,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,full,per_edge_round_robin,A+B|full|per_edge_round_robin,16,16,2.0,32,64,per_edge_round_robin,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,full,ilp_min_C,A+B|full|ilp_min_C,16,16,1.346938775510204,49,66,ilp_min_C,False,1.0,0,479,31192,0,187.73995535714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,full,ilp_min_C_then_balance,A+B|full|ilp_min_C_then_balance,16,16,1.0,56,56,ilp_min_C_then_balance,False,1.0,0,487,31575,0,187.79464285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,nd_active,greedy_first_fit,A+B|nd_active|greedy_first_fit,16,16,2.0,32,64,greedy_first_fit,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,nd_active,greedy_best_fit_balanced,A+B|nd_active|greedy_best_fit_balanced,16,16,2.0,32,64,greedy_best_fit_balanced,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,nd_active,per_edge_round_robin,A+B|nd_active|per_edge_round_robin,16,16,2.0,32,64,per_edge_round_robin,False,1.0,0,479,31354,0,185.95089285714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,nd_active,ilp_min_C,A+B|nd_active|ilp_min_C,16,16,1.346938775510204,49,66,ilp_min_C,False,1.0,0,479,31192,0,187.73995535714286,2688
tdm_fb_k8_n2,8,8,8,2,A+B,nd_active,ilp_min_C_then_balance,A+B|nd_active|ilp_min_C_then_balance,16,16,1.0,56,56,ilp_min_C_then_balance,False,1.0,0,487,31575,0,187.79464285714286,2688
tdm_fb_k4_n3,8,8,4,3,A,full,greedy_first_fit,A|full|greedy_first_fit,9,9,1.5833333333333333,48,76,greedy_first_fit,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A,full,greedy_best_fit_balanced,A|full|greedy_best_fit_balanced,9,9,1.0317460317460319,63,65,greedy_best_fit_balanced,False,1.0,0,220,8847,0,88.71701388888889,1600
tdm_fb_k4_n3,8,8,4,3,A,full,per_edge_round_robin,A|full|per_edge_round_robin,9,9,1.0317460317460319,63,65,per_edge_round_robin,False,1.0,0,207,8469,0,88.91319444444444,1600
tdm_fb_k4_n3,8,8,4,3,A,full,ilp_min_C,A|full|ilp_min_C,9,9,1.1929824561403508,57,68,ilp_min_C,False,1.0,0,213,8819,0,88.00694444444444,1600
tdm_fb_k4_n3,8,8,4,3,A,full,ilp_min_C_then_balance,A|full|ilp_min_C_then_balance,9,9,1.0,64,64,ilp_min_C_then_balance,False,1.0,0,206,8636,0,89.64236111111111,1600
tdm_fb_k4_n3,8,8,4,3,A,nd_active,greedy_first_fit,A|nd_active|greedy_first_fit,9,9,1.0317460317460319,63,65,greedy_first_fit,False,1.0,0,220,8847,0,88.71701388888889,1600
tdm_fb_k4_n3,8,8,4,3,A,nd_active,greedy_best_fit_balanced,A|nd_active|greedy_best_fit_balanced,9,9,1.0317460317460319,63,65,greedy_best_fit_balanced,False,1.0,0,220,8847,0,88.71701388888889,1600
tdm_fb_k4_n3,8,8,4,3,A,nd_active,per_edge_round_robin,A|nd_active|per_edge_round_robin,9,9,1.0317460317460319,63,65,per_edge_round_robin,False,1.0,0,207,8469,0,88.91319444444444,1600
tdm_fb_k4_n3,8,8,4,3,A,nd_active,ilp_min_C,A|nd_active|ilp_min_C,9,9,1.1929824561403508,57,68,ilp_min_C,False,1.0,0,213,8819,0,88.00694444444444,1600
tdm_fb_k4_n3,8,8,4,3,A,nd_active,ilp_min_C_then_balance,A|nd_active|ilp_min_C_then_balance,9,9,1.0,64,64,ilp_min_C_then_balance,False,1.0,0,206,8636,0,89.64236111111111,1600
tdm_fb_k4_n3,8,8,4,3,A+B,full,greedy_first_fit,A+B|full|greedy_first_fit,9,9,1.5833333333333333,48,76,greedy_first_fit,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A+B,full,greedy_best_fit_balanced,A+B|full|greedy_best_fit_balanced,9,9,1.5833333333333333,48,76,greedy_best_fit_balanced,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A+B,full,per_edge_round_robin,A+B|full|per_edge_round_robin,9,9,1.5833333333333333,48,76,per_edge_round_robin,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A+B,full,ilp_min_C,A+B|full|ilp_min_C,9,9,1.1929824561403508,57,68,ilp_min_C,False,1.0,0,213,8819,0,88.00694444444444,1600
tdm_fb_k4_n3,8,8,4,3,A+B,full,ilp_min_C_then_balance,A+B|full|ilp_min_C_then_balance,9,9,1.0,64,64,ilp_min_C_then_balance,False,1.0,0,206,8636,0,89.64236111111111,1600
tdm_fb_k4_n3,8,8,4,3,A+B,nd_active,greedy_first_fit,A+B|nd_active|greedy_first_fit,9,9,1.5833333333333333,48,76,greedy_first_fit,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A+B,nd_active,greedy_best_fit_balanced,A+B|nd_active|greedy_best_fit_balanced,9,9,1.5833333333333333,48,76,greedy_best_fit_balanced,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A+B,nd_active,per_edge_round_robin,A+B|nd_active|per_edge_round_robin,9,9,1.5833333333333333,48,76,per_edge_round_robin,False,1.0,0,214,8469,0,89.12847222222223,1600
tdm_fb_k4_n3,8,8,4,3,A+B,nd_active,ilp_min_C,A+B|nd_active|ilp_min_C,9,9,1.1929824561403508,57,68,ilp_min_C,False,1.0,0,213,8819,0,88.00694444444444,1600
tdm_fb_k4_n3,8,8,4,3,A+B,nd_active,ilp_min_C_then_balance,A+B|nd_active|ilp_min_C_then_balance,9,9,1.0,64,64,ilp_min_C_then_balance,False,1.0,0,206,8636,0,89.64236111111111,1600
tdm_fb_k2_n6,8,8,2,6,A,full,greedy_first_fit,A|full|greedy_first_fit,5,5,1.5,64,96,greedy_first_fit,False,1.0,0,100,2180,0,42.109375,896
tdm_fb_k2_n6,8,8,2,6,A,full,greedy_best_fit_balanced,A|full|greedy_best_fit_balanced,5,5,1.013157894736842,76,77,greedy_best_fit_balanced,False,1.0,0,99,2084,0,41.9765625,896
tdm_fb_k2_n6,8,8,2,6,A,full,per_edge_round_robin,A|full|per_edge_round_robin,5,5,1.013157894736842,76,77,per_edge_round_robin,False,1.0,0,102,2129,0,41.783854166666664,896
tdm_fb_k2_n6,8,8,2,6,A,full,ilp_min_C,A|full|ilp_min_C,5,5,1.0945945945945945,74,81,ilp_min_C,False,1.0,0,99,2138,0,41.838541666666664,896
tdm_fb_k2_n6,8,8,2,6,A,full,ilp_min_C_then_balance,A|full|ilp_min_C_then_balance,5,5,1.013157894736842,76,77,ilp_min_C_then_balance,False,1.0,0,97,2023,0,41.684895833333336,896
