trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-217230.394,4,k_split,7,True,141163,197939,149059,4681,4126,6015,0,0,503346,194,0,526.0917431192661,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,4,mesh2d,table_based,wormhole,8,load_aware,nearest
1,-4027567.656,16,row,1,True,3497464,5210163,1040472,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,ugal,wormhole,4,load_aware,nearest
2,-181751.89400000003,4,entwined_ring,7,False,105888,95262,149294,4681,1828,2805,0,0,837609,194,0,306.5353188239786,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,16,mesh2d,ugal,credit_vc,8,load_aware,nearest
3,-615027.312,4,col,2,False,355017,328770,518200,3449,2802,2203,0,0,757602,212,0,343.9657240788346,0.9438731790916881,cube,16,27,5,flat_butterfly,table_based,wormhole,4,8,flat_butterfly,ugal,wormhole,1,nearest,load_aware
4,-4027567.656,16,col,4,True,3497464,5210163,1040472,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,credit_vc,4,16,flat_butterfly,xy,credit_vc,4,load_aware,nearest
5,-226997.31199999998,4,entwined_ring,7,True,151486,188687,149294,3449,7300,1743,0,0,844494,212,0,31.43859649122807,0.06825657894736842,cube,16,27,5,flat_butterfly,ugal,wormhole,4,8,flat_butterfly,xy,wormhole,2,nearest,load_aware
6,-325851.716,4,entwined_ring,4,False,194957,164418,259944,3942,1598,1341,0,0,833820,216,0,43.039511070605265,0.07189192087063744,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,4,flat_butterfly,table_based,credit_vc,1,nearest,round_robin
7,-622707.0160000001,4,hybrid_nk,2,False,362786,334914,517944,3942,5202,1604,0,0,698940,216,0,327.9477124183006,0.6552287581699346,cube,16,27,5,flat_butterfly,xy,wormhole,4,16,flat_butterfly,ugal,wormhole,8,load_aware,round_robin
8,-4027567.656,16,row,1,True,3497464,5210163,1040472,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,16,flat_butterfly,ugal,wormhole,1,nearest,nearest
