trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
36,-1449110.894,4,entwined_ring,1,True,910825,1302579,1034712,4681,0,199935,0,0,250284,194,0,20.937746133583705,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,8,flat_butterfly,ugal,wormhole,2,load_aware,nearest
37,-2311269.3479999998,16,entwined_ring,4,False,1780301,2629698,1040472,9363,0,88587,0,0,1970868,1048,0,297.75280482151135,1.0,cube,16,27,5,torus2d,xy,wormhole,4,4,mesh2d,ugal,credit_vc,1,nearest,round_robin
38,-1403401.212,4,row,1,True,877470,1302579,1034712,3449,0,78852,0,0,169863,212,0,160.9494787489976,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,16,mesh2d,ugal,wormhole,4,nearest,load_aware
39,-365553.41599999997,4,k_split,4,True,234568,334899,259752,3942,7206,3208,0,0,698940,216,0,163.9738562091503,0.6552287581699346,cube,16,27,5,flat_butterfly,xy,wormhole,4,16,flat_butterfly,table_based,credit_vc,1,nearest,round_robin
40,-2313330.5560000003,16,col,1,False,1786217,2629698,1040472,7638,0,53448,42,0,5991108,956,0,192.27974372792048,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,4,4,flat_butterfly,xy,wormhole,8,nearest,nearest
41,-2342362.8479999998,16,streaming,2,False,1792016,2629698,1040472,9363,0,282372,0,0,3341676,1048,0,142.72284444444443,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,16,flat_butterfly,ugal,wormhole,4,nearest,round_robin
42,-2363564.356,16,streaming,2,False,1785404,2629698,1040472,7638,0,563922,36,0,803808,956,0,202.11883182275932,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,8,flat_butterfly,xy,wormhole,2,load_aware,nearest
43,-4113410.048,16,block,1,True,3534826,5210163,1040472,9363,0,564744,0,0,3341676,1048,0,71.36142222222222,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,8,flat_butterfly,table_based,wormhole,8,nearest,round_robin
44,-4027567.656,16,row,1,True,3497464,5210163,1040472,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,ugal,wormhole,4,load_aware,nearest
45,-4055690.856,16,block,1,True,3497464,5210163,1040472,7638,0,364617,6,0,450396,956,0,461.38850574712643,1.0,cube,16,27,5,torus2d,xy,credit_vc,1,4,flat_butterfly,ugal,wormhole,1,nearest,nearest
