trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
176,-4089416.64,16,row,1,True,3518386,5210163,28560,1040472,7392,0,492840,312,0,2174988,1040,0,112.43921568627451,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,2,4,mesh2d,xy,wormhole,1,load_aware,load_aware
177,-1225351.394,4,row,1,False,706777,657474,2619,1034712,4681,0,2817,3,0,839325,194,0,306.5353188239786,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,4,4,flat_butterfly,table_based,credit_vc,8,nearest,nearest
178,-2345250.648,16,streaming,2,False,1790180,2629698,20664,1040472,9363,0,329610,0,0,847164,1048,0,155.40379403794037,1.0,cube,16,27,5,torus2d,xy,wormhole,2,8,mesh2d,xy,wormhole,4,load_aware,round_robin
179,-4125815.04,16,hybrid_nk,7,True,3530062,5210163,40236,1040472,7392,0,740376,0,0,843840,1040,0,79.8107167710508,1.0,cube,16,27,5,torus2d,xy,wormhole,2,8,mesh2d,xy,credit_vc,1,nearest,load_aware
180,-4081972.44,16,block,1,True,3501793,5210163,11967,1040472,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,1,8,flat_butterfly,ugal,credit_vc,1,nearest,load_aware
181,-602919.794,4,hybrid_nk,4,True,470170,334899,1983,259560,4681,242808,20334,0,0,183789,194,0,404.8492183560262,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,16,flat_butterfly,xy,credit_vc,4,nearest,nearest
182,-2319795.5560000003,16,streaming,2,False,1777154,2629698,7416,1040472,7638,0,208770,0,0,1030956,956,0,433.0183387270766,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,16,mesh2d,ugal,wormhole,4,load_aware,nearest
183,-1397439.4159999997,4,entwined_ring,1,True,877150,1302579,4668,1034712,3942,0,21436,12,0,414135,216,0,171.9828620394173,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,4,mesh2d,xy,wormhole,1,load_aware,round_robin
184,-537071.212,4,k_split,4,False,398620,173634,4988,259752,3449,213100,78852,0,0,169863,212,0,160.9494787489976,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,8,mesh2d,xy,credit_vc,4,load_aware,load_aware
185,-2345696.14,16,entwined_ring,1,False,1780274,2629698,10758,1040472,7392,0,437064,3,0,548256,1040,0,298.5000929540807,1.0,cube,16,27,5,torus2d,table_based,credit_vc,1,4,flat_butterfly,xy,credit_vc,4,nearest,load_aware
