trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
94,-2371108.456,16,col,2,False,1790399,2629698,20883,1040472,7638,0,589449,0,0,3370008,956,0,153.77407460613895,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,2,4,flat_butterfly,table_based,credit_vc,8,load_aware,nearest
95,-4081972.44,16,col,2,True,3501793,5210163,11967,1040472,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,16,flat_butterfly,table_based,wormhole,4,load_aware,load_aware
96,-4063030.748,16,col,7,True,3520399,5210163,30573,1040472,9363,0,205221,0,0,6972072,1048,0,105.03594675040068,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,4,4,flat_butterfly,ugal,credit_vc,1,nearest,round_robin
97,-4124762.556,16,entwined_ring,7,True,3519490,5210163,29664,1040472,7638,0,835080,0,0,1030956,956,0,108.25458468176915,1.0,cube,16,27,5,supermesh_alter,xy,credit_vc,2,8,mesh2d,xy,credit_vc,1,nearest,nearest
98,-2665839.556,16,col,2,False,1829918,2629698,60402,1040472,7638,0,3141570,0,0,2533236,956,0,53.16486209065925,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,1,16,butterfly,table_based,wormhole,4,nearest,nearest
99,-4165871.04,16,col,4,True,3534310,5210163,44484,1040472,7392,0,1098456,0,0,1331796,1040,0,72.18919161945868,1.0,cube,16,27,5,supermesh_alter,xy,credit_vc,2,16,flat_butterfly,ugal,credit_vc,1,load_aware,load_aware
100,-1277487.9120000002,4,entwined_ring,1,False,752154,657474,50058,1034712,3449,0,72879,0,0,1237896,212,0,16.037716249150986,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,4,butterfly,table_based,wormhole,8,load_aware,load_aware
101,-1405094.216,4,entwined_ring,1,True,880304,1302579,7822,1034712,3942,0,66456,0,0,294216,216,0,102.63564305804142,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,2,8,flat_butterfly,ugal,wormhole,4,nearest,round_robin
102,-4114125.848,16,entwined_ring,2,True,3550972,5210163,61146,1040472,9363,0,410442,0,0,6972072,1048,0,52.51797337520034,1.0,cube,16,27,5,supermesh_alter,ugal,credit_vc,4,4,flat_butterfly,ugal,wormhole,4,load_aware,round_robin
103,-4157110.956,16,entwined_ring,4,True,3515110,5210163,25284,1040472,7638,0,1202364,0,0,1074684,956,0,127.0077519379845,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,16,flat_butterfly,ugal,wormhole,2,load_aware,nearest
104,-4088359.448,16,col,1,True,3511372,5210163,21546,1040472,9363,0,548778,0,0,1321944,1048,0,149.0422352176738,1.0,cube,16,27,5,supermesh_alter,table_based,wormhole,2,8,butterfly,table_based,credit_vc,1,nearest,round_robin
105,-4113410.048,16,entwined_ring,1,True,3534826,5210163,45000,1040472,9363,0,564744,0,0,3341676,1048,0,71.36142222222222,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,8,butterfly,table_based,wormhole,8,load_aware,round_robin
106,-1232829.616,4,col,1,False,713139,657474,11043,1034712,3942,0,15460,0,0,1206540,216,0,72.69908539346193,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,4,8,mesh2d,table_based,wormhole,1,load_aware,round_robin
107,-4063113.2399999998,16,col,4,True,3511510,5210163,21684,1040472,7392,0,298878,0,0,3049704,1040,0,148.0937096476665,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,16,mesh2d,xy,credit_vc,8,load_aware,load_aware
108,-438267.916,4,col,4,True,301987,325683,14808,259944,3942,83841,55203,0,0,782823,216,0,54.215018908698,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,4,mesh2d,ugal,wormhole,2,load_aware,round_robin
109,-1405212.8120000002,4,entwined_ring,1,True,880367,1302579,7885,1034712,3449,0,67998,0,0,143004,212,0,101.81559923906151,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,1,8,butterfly,ugal,wormhole,4,nearest,load_aware
110,-448363.09400000004,4,col,4,True,315746,325683,2652,259944,4681,97600,17087,0,0,505650,194,0,302.7209653092006,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,2,8,flat_butterfly,ugal,wormhole,1,nearest,nearest
111,-4051055.556,16,entwined_ring,2,True,3504256,5210163,14430,1040472,7638,0,250350,0,0,2311428,956,0,222.54081774081774,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,4,8,flat_butterfly,table_based,credit_vc,2,load_aware,nearest
112,-606697.816,4,col,4,True,466712,325683,5571,259944,3942,248566,92252,0,0,175458,216,0,144.1062645844552,1.0,cube,16,27,5,supermesh_alter,table_based,wormhole,1,4,mesh2d,ugal,credit_vc,4,load_aware,round_robin
113,-4106491.956,16,col,4,True,3504016,5210163,14190,1040472,7638,0,807114,0,0,892572,956,0,226.3047216349542,1.0,cube,16,27,5,butterfly,xy,credit_vc,2,16,mesh2d,xy,credit_vc,4,load_aware,nearest
114,-4051055.556,16,entwined_ring,2,True,3504256,5210163,14430,1040472,7638,0,250350,0,0,2311428,956,0,222.54081774081774,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,4,4,mesh2d,xy,wormhole,2,load_aware,nearest
115,-4146180.54,16,entwined_ring,1,True,3577591,5210163,87765,1040472,7392,0,468741,0,0,8753988,1040,0,36.58934655044722,1.0,cube,16,27,5,butterfly,ugal,credit_vc,4,16,flat_butterfly,ugal,credit_vc,2,load_aware,load_aware
116,-709674.412,4,col,2,False,443093,328770,6233,518200,3449,91525,67911,3,0,195819,212,0,128.80089844376704,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,4,mesh2d,table_based,wormhole,1,nearest,load_aware
117,-5056865.04,16,entwined_ring,2,True,3753118,5210163,263292,1040472,7392,0,7820316,0,0,2725992,1040,0,12.196587818847515,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,1,8,butterfly,ugal,credit_vc,2,load_aware,load_aware
118,-1414173.294,4,col,1,True,893155,1302579,20673,1034712,4681,0,27259,0,0,1229484,194,0,38.83403473129202,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,16,butterfly,ugal,wormhole,2,load_aware,nearest
119,-645896.294,4,col,7,False,563323,95262,18563,149294,4681,462116,69899,0,0,762441,194,0,43.2481818671551,1.0,cube,16,27,5,supermesh_bi,ugal,credit_vc,2,8,mesh2d,table_based,wormhole,2,load_aware,nearest
120,-4048798.7399999998,16,entwined_ring,4,True,3517159,5210163,27333,1040472,7392,0,99243,0,0,9274776,1040,0,117.48670105732997,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,8,mesh2d,xy,wormhole,8,load_aware,load_aware
121,-4114685.04,16,entwined_ring,4,True,3533194,5210163,43368,1040472,7392,0,597756,0,0,3049704,1040,0,74.04685482383324,1.0,cube,16,27,5,supermesh_bi,table_based,credit_vc,4,8,mesh2d,xy,wormhole,8,nearest,load_aware
122,-4157110.956,16,col,7,True,3515110,5210163,25284,1040472,7638,0,1202364,0,0,1074684,956,0,127.0077519379845,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,1,16,butterfly,ugal,credit_vc,8,load_aware,nearest
123,-725757.716,4,entwined_ring,2,True,464816,651315,2583,518200,3942,28558,10531,0,0,581640,216,0,310.80758807588074,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,4,4,butterfly,table_based,wormhole,2,load_aware,round_robin
124,-2352636.64,16,col,4,False,1798748,2629698,29232,1040472,7392,0,321732,0,0,8919060,1040,0,109.8544061302682,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,16,mesh2d,xy,credit_vc,4,nearest,load_aware
